Name,Year,Admissions,Surgeries,Outpatient Visits
Metro Medical Center,2024,1100,480,2700
Metro Medical Center,2002,590,245,1600
Metro Medical Center,2019,995,430,2410
Metro Medical Center,2015,915,395,2230
Metro Medical Center,2008,720,325,1875
Metro Medical Center,2020,1015,445,2495
Metro Medical Center,2004,705,190,1690
Metro Medical Center,2017,955,415,2325
Metro Medical Center,2009,805,335,1910
Metro Medical Center,2003,625,275,1580
Metro Medical Center,2013,865,375,2130
Metro Medical Center,2010,815,320,1990
Metro Medical Center,2022,1045,465,2575
Metro Medical Center,2001,640,215,1420
Metro Medical Center,2023,1065,475,2610
Metro Medical Center,2014,890,385,2175
Metro Medical Center,2007,745,310,1820
Metro Medical Center,2005,710,295,1740
Metro Medical Center,2016,935,405,2290
Metro Medical Center,2011,830,355,2020
Metro Medical Center,2000,620,230,1500
Metro Medical Center,2018,970,425,2370
Metro Medical Center,2006,735,305,1795
Metro Medical Center,2012,850,360,2090
Metro Medical Center,2021,1035,455,2530
